lng,lat
-43.243377,-22.879388
-43.243377,-22.879388
-43.3646139,-22.9531087
-43.20855,-22.903969
-43.2907,-22.9110
-43.1885374,-22.9655383
-43.32506407628851,-22.8493786
-43.5183894300,-22.9230548797
-43.1885374,-22.9655383
-43.286025524139404,-22.838389537287703
-43.243377,-22.879388
-43.208777,-22.903077
-43.3681826,-22.9988612
-43.243377,-22.879388
-43.3747342,-22.8593527
-43.243377,-22.879388
-43.48254913,-23.02026625
-43.208777,-22.903077
-43.473,-23.018
-43.32677,-22.85109
-43.2912008,-22.8964294
-43.22954461,-22.97971206
-43.2306432723999,-22.922923105919104
-43.178416,-22.9263757
-43.4316587,-22.8737118
-43.3681826,-22.9988612
-43.1885374,-22.9655383
-43.43868,-22.86607
-43.43868,-22.86607
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.208,-22.803
-43.3597123,-22.9198094
-43.43868,-22.86607
-43.2673882,-22.9009595
-43.465519,-22.847394
-43.20855,-22.903969
-43.3305115728,-22.9365694
-43.1885374,-22.9655383
-43.3681826,-22.9988612
-43.4316587,-22.8737118
-43.1885374,-22.9655383
-43.4316587,-22.8737118
-43.62758,-22.99734
-43.3681826,-22.9988612
-43.48254913,-23.02026625
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.286025524139404,-22.838389537287703
-43.473,-23.018
-43.4316587,-22.8737118
-43.4316587,-22.8737118
-43.22954461,-22.97971206
-43.22954461,-22.97971206
-43.2343499112,-22.9297709376
-43.186807,-22.966844
-43.3681826,-22.9988612
-43.243377,-22.879388
-43.4316587,-22.8737118
-43.3681826,-22.9988612
-43.32355672509527,-22.88349685
-43.243377,-22.879388
-43.1885374,-22.9655383
-43.33704,-22.87722
-43.243377,-22.879388
-43.1885374,-22.9655383
-43.736719,-22.8962961
-43.3681826,-22.9988612
-43.473,-23.018
-43.1885374,-22.9655383
-43.3681826,-22.9988612
-43.489839,-22.853231
-43.1885374,-22.9655383
-43.316111,-22.925833
-43.20877,-22.90377
-43.4316587,-22.8737118
-43.2715093,-22.5940
-43.3681826,-22.9988612
-43.43868,-22.86607
-43.399572,-22.886986
-43.40683,-22.83389
-43.4316587,-22.8737118
-43.23744535446167,-22.914147982202447
-43.2532244659,-22.9163762642
-43.463397,-22.854969
-43.465519,-22.847394
-43.2532244659,-22.9163762642
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.207,-22.908
-43.2532244659,-22.9163762642
-43.2211160,-22.9163022
-43.37041,-22.99180
-43.451021,-22.871453
-43.3681826,-22.9988612
-43.286025524139404,-22.838389537287703
-43.465394,-22.888630
-43.3681826,-22.9988612
-43.207,-22.908
-43.3681826,-22.9988612
-43.463397,-22.854969
-43.281001,-22.901543
-43.3681826,-22.9988612
-43.43868,-22.86607
-43.3681826,-22.9988612
-43.463397,-22.854969
-43.64846671,-22.97575646
-43.473,-23.018
-43.23738098144531,-22.842443446478057
-43.243377,-22.879388
-43.286025524139404,-22.838389537287703
-43.243377,-22.879388
-43.399572,-22.886986
-43.2190346,-22.9059059
-43.1885374,-22.9655383
-43.20877,-22.90377
-43.471519,-22.847722
-43.3681826,-22.9988612
-43.2752249,-22.8724351
-43.456908,-22.867869
-43.3681826,-22.9988612
-43.2306432723999,-22.922923105919104
-43.281001,-22.901543
-43.251800537109375,-22.98933076582788
-43.1885374,-22.9655383
-43.63499164581299,-22.927330217184508
-43.43868,-22.86607
-43.2425760000,-22.9339810000
-43.251800537109375,-22.98933076582788
-43.32677,-22.85109
-43.243377,-22.879388
-43.48254913,-23.02026625
-43.2190346,-22.9059059
-43.263744,-22.898669
-43.2425760000,-22.9339810000
-43.2425760000,-22.9339810000
-43.20089,-22.90991
-43.2190346,-22.9059059
-43.243377,-22.879388
-43.48254913,-23.02026625
-43.20877,-22.90377
-43.20089,-22.90991
-43.243555,-22.911417
-43.243377,-22.879388
-43.207,-22.908
-43.481981,-22.887414
-43.20855,-22.903969
-43.2752249,-22.8724351
-43.20855,-22.903969
-43.2685351,-22.8636262
-43.1885374,-22.9655383
-43.36227875,-22.02876652
-43.444836,-22.863000
-43.5610913,-22.8984195
-43.26795,-22.86042
-43.2425760000,-22.9339810000
-43.43868,-22.86607
-43.3681826,-22.9988612
-43.399572,-22.886986
-43.43868,-22.86607
-43.2673882,-22.9009595
-43.1885374,-22.9655383
-43.243377,-22.879388
-43.26960,-22.84161
-43.56850,-23.06610
-43.243377,-22.879388
-43.411092,-22.876831
-43.3681826,-22.9988612
-43.186807,-22.966844
-43.1885374,-22.9655383
-43.425547,-22.866117
-43.3681826,-22.9988612
-43.208777,-22.903077
-43.54063,-23.00560
-43.43868,-22.86607
-43.37775,-22.84697
-43.399572,-22.886986
-43.3681826,-22.9988612
-43.2532244659,-22.9163762642
-43.1885374,-22.9655383
-43.3681826,-22.9988612
-43.1885374,-22.9655383
-43.2190346,-22.9059059
-43.26795,-22.86042
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.20855,-22.903969
-43.3681826,-22.9988612
-43.26960,-22.84161
-43.26960,-22.84161
-43.465394,-22.888630
-43.48254913,-23.02026625
-43.243377,-22.879388
-43.189868,-22.9533486
-43.465519,-22.847394
-43.3646139,-22.9531087
-43.5610913,-22.8984195
-43.20855,-22.903969
-43.3646139,-22.9531087
-43.243377,-22.879388
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.26960,-22.84161
-43.3681826,-22.9988612
-43.23744535446167,-22.914147982202447
-43.48254913,-23.02026625
-43.4316587,-22.8737118
-43.3681826,-22.9988612
-43.3681826,-22.9988612
-43.463397,-22.854969
-43.3681826,-22.9988612
-43.37775,-22.84697
-43.456908,-22.867869
-43.18726658821106,-22.967126060847373
-43.48254913,-23.02026625
-43.26960,-22.84161
-43.22954461,-22.97971206
-43.23738098144531,-22.842443446478057
-43.465519,-22.847394
-43.2532244659,-22.9163762642
-43.1841419,-22.9319176
-43.2532244659,-22.9163762642
-43.56850,-23.06610
-43.2907,-22.9110
-43.2532244659,-22.9163762642
-43.2532244659,-22.9163762642
-43.2912008,-22.8964294
-43.37775,-22.84697
-43.243377,-22.879388
-43.1885374,-22.9655383
-43.26980653,-22.99536389
-43.22954461,-22.97971206
-43.1885374,-22.9655383
-43.465519,-22.847394
-43.37041,-22.99180
-43.3305115728,-22.9365694
-43.3681826,-22.9988612
-43.34859,-22.85208
-43.399572,-22.886986
-43.2207011,-22.9223007
-43.3681826,-22.9988612
-43.3646139,-22.9531087
-43.26960,-22.84161
-43.34169,-22.87726
-43.176318,-22.953253
-43.243377,-22.879388
-43.444836,-22.863000
-43.3681826,-22.9988612
-43.178416,-22.9263757
-43.3681826,-22.9988612
-43.20804834365845,-22.903000384238364
-43.243377,-22.879388
-43.3681826,-22.9988612
-43.34477663040161,-22.88262004857943
-43.263744,-22.898669
-43.176318,-22.953253
-43.3681826,-22.9988612
-43.1885374,-22.9655383
-43.178416,-22.9263757
-43.43868,-22.86607
-43.4316587,-22.8737118
-43.286025524139404,-22.838389537287703
-43.3305115728,-22.9365694
-43.34859,-22.85208
-43.22954461,-22.97971206
-43.34005,-22.87360
-43.2912008,-22.8964294
-43.251800537109375,-22.98933076582788
-43.3681826,-22.9988612
-43.32355672509527,-22.88349685
-43.251800537109375,-22.98933076582788
-43.207,-22.908
-43.20877,-22.90377
