lng,lat
-43.243377,-22.879388
-43.2275533,-22.87716368
-43.186,-22.946
-43.290104,-22.83765657
-43.463397,-22.854969
-43.2190085,-22.9766497
-43.463397,-22.854969
-43.488472,-22.894142
-43.208,-22.803
-43.32822,-22.83018
-43.243377,-22.879388
-43.481981,-22.887414
-43.2343499112,-22.9297709376
-43.2488167699,-22.9363826399
-43.64846671,-22.97575646
-43.208777,-22.903077
-43.201,-22.909
-43.483275175094604,-22.88253108793212
-43.483275175094604,-22.88253108793212
-43.34656,-22.85140
-43.6013219378,-22.9238658262
-43.483275175094604,-22.88253108793212
-43.2190346,-22.9059059
-43.6013219378,-22.9238658262
-43.483275175094604,-22.88253108793212
-43.483275175094604,-22.88253108793212
-43.25240008,-22.98940176
-43.483275175094604,-22.88253108793212
-43.488472,-22.894142
-43.5783230004,-22.8725500004
-43.483275175094604,-22.88253108793212
-43.64846671,-22.97575646
-43.62758,-22.99734
-43.27896,-22.84261
-43.27896,-22.84261
-43.5589160236199,-22.90817725
-43.5840731397,-22.9105022298
-43.201,-22.909
-43.5783230004,-22.8725500004
-43.488472,-22.894142
-43.251800537109375,-22.98933076582788
-43.483275175094604,-22.88253108793212
-43.488472,-22.894142
-43.51849,-22.87385
-43.6013219378,-22.9238658262
-43.3922857,-22.9540972
-43.37406098842621,-22.865494049658444
-43.201080,-22.908660
-43.6603680598,-22.9845685004
-43.432256,-22.872742
-43.201,-22.909
-43.2673882,-22.9009595
-43.53765,-22.95767678
-43.34169,-22.87726
-43.431542,-22.887553
-43.2190346,-22.9059059
-43.201,-22.909
-43.20877,-22.90377
-43.54063,-23.00560
-43.483275175094604,-22.88253108793212
-43.2532244659,-22.9163762642
-43.22247,-22.87595
-43.6013219378,-22.9238658262
-43.286025524139404,-22.838389537287703
-43.483275175094604,-22.88253108793212
-43.22954461,-22.97971206
-43.56850,-23.06610
-43.2685842,-22.8655623
-43.56238079119834,-22.908061044663658
-43.483275175094604,-22.88253108793212
-43.6013219378,-22.9238658262
-43.6603680598,-22.9845685004
-43.448694,-22.872939
-43.6013219378,-22.9238658262
-43.43868,-22.86607
-43.483275175094604,-22.88253108793212
-43.41121118,-22.9948924303
-43.429867,-22.878972
-43.20877,-22.90355
-43.2190346,-22.9059059
-43.20877,-22.90355
-43.201,-22.909
-43.37406098842621,-22.865494049658444
-43.51849,-22.87385
-43.483275175094604,-22.88253108793212
-43.736719,-22.8962961
-43.61059924,-22.91513059
-43.2190346,-22.9059059
-43.483275175094604,-22.88253108793212
-43.6013219378,-22.9238658262
-43.243377,-22.879388
-43.6013219378,-22.9238658262
-43.456908,-22.867869
-43.201,-22.909
-43.30613,-22.84965
-43.456908,-22.867869
-43.201,-22.909
-43.62510,-22.92401
-43.488472,-22.894142
-43.22247,-22.87595
-43.488472,-22.894142
-43.488472,-22.894142
-43.2685842,-22.8655623
-43.56238079119834,-22.908061044663658
-43.481981,-22.887414
-43.5783230004,-22.8725500004
-43.483275175094604,-22.88253108793212
-43.444836,-22.863000
-43.3681826,-22.9988612
-43.62758,-22.99734
-43.49258780479431,-22.85476016217078
-43.49258780479431,-22.85476016217078
-43.30613,-22.84965
-43.3681826,-22.9988612
-43.736719,-22.8962961
-43.463397,-22.854969
-43.30613,-22.84965
-43.69395732879639,-22.97471242021949
-43.2685842,-22.8655623
-43.268802,-22.877967
-43.483275175094604,-22.88253108793212
-43.51849,-22.87385
-43.39669,-22.83620
-43.3681826,-22.9988612
-43.3305115728,-22.9365694
-43.3681826,-22.9988612
-43.324005,-22.807804
-43.196388,-22.908333
-43.2685842,-22.8655623
-43.35958,-22.95728
-43.286025524139404,-22.838389537287703
-43.286025524139404,-22.838389537287703
-43.37406098842621,-22.865494049658444
-43.6603680598,-22.9845685004
-43.463397,-22.854969
-43.373597,-22.9158327
-43.3371534,-22.8766709
-43.49258780479431,-22.85476016217078
-43.488472,-22.894142
-43.32441,-22.89129
-43.483275175094604,-22.88253108793212
-43.20855,-22.903969
-43.2685842,-22.8655623
-43.34656,-22.85140
-43.56238079119834,-22.908061044663658
-43.56238079119834,-22.908061044663658
-43.32441,-22.89129
-43.20798397064209,-22.9029806181798
-43.3743475,-22.921632
-43.20877,-22.90355
-43.260968,-22.915215
-43.483275175094604,-22.88253108793212
-43.483275175094604,-22.88253108793212
-43.2912008,-22.8964294
-43.254109,-22.883676
-43.20877,-22.90355
-43.20877,-22.90355
-43.286025524139404,-22.838389537287703
-43.2752249,-22.8724351
-43.483275175094604,-22.88253108793212
-43.39669,-22.83620
-43.201,-22.909
-43.5783230004,-22.8725500004
-43.20800335,-22.9030885
-43.16926526,-22.96057728
-43.20800335,-22.9030885
-43.34656,-22.85140
-43.483275175094604,-22.88253108793212
-43.260968,-22.915215
-43.2532244659,-22.9163762642
-43.20855,-22.903969
-43.254109,-22.883676
-43.20800335,-22.9030885
-43.2685842,-22.8655623
-43.49258780479431,-22.85476016217078
-43.483275175094604,-22.88253108793212
-43.51849,-22.87385
-43.56238079119834,-22.908061044663658
-43.6603680598,-22.9845685004
-43.483275175094604,-22.88253108793212
-43.2190346,-22.9059059
-43.62510,-22.92401
-43.201,-22.909
-43.37341975,-22.9294573
-43.3747342,-22.8593527
-43.20089,-22.90991
-43.489839,-22.853231
-43.49258780479431,-22.85476016217078
-43.2685842,-22.8655623
-43.2685842,-22.8655623
-43.5783230004,-22.8725500004
-43.2912008,-22.8964294
-43.6603680598,-22.9845685004
-43.22256,-22.89978
-43.483275175094604,-22.88253108793212
-43.43868,-22.86607
-43.275190,-22.877618
-43.268802,-22.877967
-43.6097159642,-22.9554052725
-43.53765,-22.95767678
-43.20855,-22.903969
-43.1860085,-22.9493252
-43.481981,-22.887414
-43.5904461197,-22.8922289798
-43.5929303296,-22.9921555904
-43.2190346,-22.9059059
-43.20855,-22.903969
-43.487703,-22.860081
-43.46320942610282,-22.8818683
-43.471519,-22.847722
-43.20855,-22.903969
-43.20855,-22.903969
-43.489839,-22.853231
-43.2733690001,-22.8506210000
-43.2685842,-22.8655623
-43.22247,-22.87595
-43.1860085,-22.9493252
-43.43868,-22.86607
-43.286025524139404,-22.838389537287703
-43.254109,-22.883676
-43.20855,-22.903969
-43.24520621,-22.98596405
-43.432256,-22.872742
-43.22780,-22.87665200
-43.2685842,-22.8655623
-43.51849,-22.87385
-43.207,-22.908
-43.483275175094604,-22.88253108793212
-43.481981,-22.887414
-43.201,-22.909
-43.465394,-22.888630
-43.483275175094604,-22.88253108793212
-43.32441,-22.89129
-43.260968,-22.915215
-43.190505,-22.896888
-43.201,-22.909
-43.2673882,-22.9009595
-43.32441,-22.89129
-43.32441,-22.89129
-43.59632,-22.87501
-43.2275533,-22.87716368
-43.488472,-22.894142
-43.1860085,-22.9493252
-43.6013219378,-22.9238658262
-43.483275175094604,-22.88253108793212
-43.2907,-22.9110
-43.62758,-22.99734
-43.56238079119834,-22.908061044663658
-43.488472,-22.894142
-43.488472,-22.894142
-43.56238079119834,-22.908061044663658
-43.56238079119834,-22.908061044663658
-43.56238079119834,-22.908061044663658
-43.20877,-22.90355
-43.201,-22.909
-43.20877,-22.90355
-43.251800537109375,-22.98933076582788
-43.1860085,-22.9493252
-43.483275175094604,-22.88253108793212
-43.483275175094604,-22.88253108793212
-43.483275175094604,-22.88253108793212
-43.483275175094604,-22.88253108793212
-43.51849,-22.87385
-43.2715093,-22.5940
-43.2912008,-22.8964294
-43.2685842,-22.8655623
-43.2912008,-22.8964294
-43.208777,-22.903077
-43.2715093,-22.5940
-43.2343499112,-22.9297709376
-43.483275175094604,-22.88253108793212
-43.37406098842621,-22.865494049658444
-43.260968,-22.915215
-43.2715093,-22.5940
-43.51849,-22.87385
-43.51849,-22.87385
-43.51849,-22.87385
-43.34169,-22.87726
-43.5764273078,-22.9466948754
-43.201,-22.909
-43.34169,-22.87726
-43.2532244659,-22.9163762642
-43.70527,-22.96142
-43.286025524139404,-22.838389537287703
-43.6013219378,-22.9238658262
-43.474733,-22.864247
-43.1229,-22.3228
-43.61059924,-22.91513059
-43.5783230004,-22.8725500004
-43.32506407628851,-22.8493786
-43.49258780479431,-22.85476016217078
-43.2190346,-22.9059059
-43.444836,-22.863000
-43.2343499112,-22.9297709376
-43.53765,-22.95767678
-43.5764273078,-22.9466948754
-43.3681826,-22.9988612
-43.20855,-22.903969
-43.251800537109375,-22.98933076582788
-43.6091138996,-22.8916633503
-43.559347687,-22.918188029
-43.5583563369,-22.9184611274
-43.201,-22.909
-43.444836,-22.863000
-43.286025524139404,-22.838389537287703
-43.2532244659,-22.9163762642
-43.2912008,-22.8964294
-43.2912008,-22.8964294
-43.481981,-22.887414
-43.6013219378,-22.9238658262
-43.252266,-22.900553
-43.49258780479431,-22.85476016217078
-43.463397,-22.854969
-43.2912008,-22.8964294
-43.5909703012,-22.9419599340
-43.489839,-22.853231
-43.43868,-22.86607
-43.19259,-22.95001
-43.296109,-22.888298
-43.251800537109375,-22.98933076582788
-43.3747342,-22.8593527
-43.483275175094604,-22.88253108793212
-42.6018879,-22.8646426
-43.201,-22.909
-43.488472,-22.894142
-43.488472,-22.894142
-43.6013219378,-22.9238658262
-43.32441,-22.89129
-43.251800537109375,-22.98933076582788
-43.49258780479431,-22.85476016217078
-43.69395732879639,-22.97471242021949
-43.56238079119834,-22.908061044663658
-43.201,-22.909
-43.64846671,-22.97575646
-43.56238079119834,-22.908061044663658
-43.18130,-22.91440
-43.489839,-22.853231
-43.201,-22.909
-43.34656,-22.85140
-43.6013219378,-22.9238658262
-43.6013219378,-22.9238658262
-43.2912008,-22.8964294
-43.251800537109375,-22.98933076582788
-43.6013219378,-22.9238658262
-43.6013219378,-22.9238658262
-43.6013219378,-22.9238658262
-43.6013219378,-22.9238658262
-43.36872339248657,-22.821782080206773
-43.22438,-22.90158
-43.1229,-22.3228
-43.444836,-22.863000
-43.2733690001,-22.8506210000
-43.2532244659,-22.9163762642
-43.432256,-22.872742
-43.2609906100,-22.9156235298
-43.456908,-22.867869
-43.1756136,-22.821173
-43.456908,-22.867869
-43.203847,-22.912685
-43.2685842,-22.8655623
-43.2685842,-22.8655623
-43.465394,-22.888630
-43.483275175094604,-22.88253108793212
-43.34859,-22.85208
-43.43868,-22.86607
-43.201,-22.909
-43.43868,-22.86607
-43.63910,-22.91985
-43.5183894300,-22.9230548797
-43.286025524139404,-22.838389537287703
-43.483275175094604,-22.88253108793212
-43.56238079119834,-22.908061044663658
-43.56238079119834,-22.908061044663658
-43.35958,-22.95728
-43.243377,-22.879388
-43.2190346,-22.9059059
-43.20877,-22.90355
-43.5583563369,-22.9184611274
-43.483275175094604,-22.88253108793212
-43.53765,-22.95767678
-43.2685842,-22.8655623
-43.489839,-22.853231
-43.2685842,-22.8655623
-43.432256,-22.872742
-43.254109,-22.883676
-43.281001,-22.901543
-43.43868,-22.86607
-43.2190346,-22.9059059
-43.208777,-22.903077
-43.290104,-22.83765657
-43.20855,-22.903969
-43.22438,-22.90158
-43.254109,-22.883676
-43.2275533,-22.87716368
